material_row,areal_density_gcm2,thickness_cm,shield_density_gcm3,energy_MeV,n_primaries,mean_edep_lead_MeV,composition
0,2.5,2.76243,0.905,110,1000,87.2921,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.5,2.76243,0.905,125,1000,102.263,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.5,2.76243,0.905,140,1000,117.386,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.5,2.76243,0.905,150,1000,127.282,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.5,2.76243,0.905,175,1000,150.403,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.5,2.76243,0.905,200,1000,172.841,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,5,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,10,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,15,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,20,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,25,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,30,1000,0.00394964,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,40,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,50,1000,0.016074,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,60,1000,0.0584661,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,75,1000,36.6002,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,90,1000,58.2656,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,100,1000,70.9628,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,3.0,3.31492,0.905,110,1000,81.7921,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
